,iso_code,country,sex,age,year,employment,unemployment,baseline_2020,recovery_score
226,ARG,Argentina,Total,15-24,2024,31.277,19.228,23.022,8.255000000000003
227,ARG,Argentina,Total,25+,2024,63.816,5.461,56.33,7.486000000000004
228,ARG,Argentina,Male,15+,2024,67.049,6.576,58.819,8.230000000000004
229,ARG,Argentina,Male,15-24,2024,35.34,18.528,27.776,7.564000000000004
230,ARG,Argentina,Male,25+,2024,75.188,4.893,67.098,8.090000000000003
231,ARG,Argentina,Female,15+,2024,48.144,7.912,40.724,7.420000000000002
232,ARG,Argentina,Female,15-24,2024,27.006,20.172,18.047,8.959
233,ARG,Argentina,Female,25+,2024,53.037,6.215,46.174,6.8629999999999995
234,ARG,Argentina,Total,15+,2023,58.463,6.139,49.602,8.861000000000004
235,ARG,Argentina,Total,15-24,2023,32.102,17.946,23.022,9.079999999999998
236,ARG,Argentina,Total,25+,2023,64.939,4.469,56.33,8.608999999999995
237,ARG,Argentina,Male,15+,2023,67.886,5.641,58.819,9.066999999999993
238,ARG,Argentina,Male,15-24,2023,36.222,16.867,27.776,8.446000000000002
239,ARG,Argentina,Male,25+,2023,76.082,4.044,67.098,8.983999999999995
240,ARG,Argentina,Female,15+,2023,49.36,6.793,40.724,8.636000000000003
241,ARG,Argentina,Female,15-24,2023,27.776,19.379,18.047,9.729
242,ARG,Argentina,Female,25+,2023,54.395,5.027,46.174,8.221000000000004
243,ARG,Argentina,Total,15+,2022,57.3,6.805,49.602,7.698
244,ARG,Argentina,Total,15-24,2022,30.797,19.004,23.022,7.775000000000002
245,ARG,Argentina,Total,25+,2022,63.867,5.097,56.33,7.536999999999999
246,ARG,Argentina,Male,15+,2022,67.062,6.145,58.819,8.242999999999995
247,ARG,Argentina,Male,15-24,2022,35.266,17.745,27.776,7.489999999999998
248,ARG,Argentina,Male,25+,2022,75.365,4.499,67.098,8.266999999999996
249,ARG,Argentina,Female,15+,2022,47.884,7.682,40.724,7.160000000000004
250,ARG,Argentina,Female,15-24,2022,26.109,20.723,18.047,8.062000000000001
251,ARG,Argentina,Female,25+,2022,53.005,5.889,46.174,6.831000000000003
252,ARG,Argentina,Total,15+,2021,55.085,8.736,49.602,5.483000000000004
253,ARG,Argentina,Total,15-24,2021,28.356,23.373,23.022,5.334000000000003
254,ARG,Argentina,Total,25+,2021,61.772,6.689,56.33,5.442
255,ARG,Argentina,Male,15+,2021,65.23,7.915,58.819,6.411000000000001
256,ARG,Argentina,Male,15-24,2021,33.346,21.008,27.776,5.569999999999997
257,ARG,Argentina,Male,25+,2021,73.636,6.055,67.098,6.537999999999997
258,ARG,Argentina,Female,15+,2021,45.309,9.852,40.724,4.585000000000001
259,ARG,Argentina,Female,15-24,2021,23.128,26.688,18.047,5.0809999999999995
260,ARG,Argentina,Female,25+,2021,50.576,7.546,46.174,4.402000000000001
261,ARG,Argentina,Total,15+,2020,49.602,11.461,49.602,0.0
262,ARG,Argentina,Total,15-24,2020,23.022,30.429,23.022,0.0
263,ARG,Argentina,Total,25+,2020,56.33,8.891,56.33,0.0
264,ARG,Argentina,Male,15+,2020,58.819,10.778,58.819,0.0
265,ARG,Argentina,Male,15-24,2020,27.776,27.238,27.776,0.0
266,ARG,Argentina,Male,25+,2020,67.098,8.493,67.098,0.0
267,ARG,Argentina,Female,15+,2020,40.724,12.394,40.724,0.0
268,ARG,Argentina,Female,15-24,2020,18.047,35.019,18.047,0.0
269,ARG,Argentina,Female,25+,2020,46.174,9.432,46.174,0.0
270,ARM,Armenia,Total,15+,2025,51.744,12.871,50.125,1.6189999999999998
271,ARM,Armenia,Total,15-24,2025,28.288,26.244,26.336,1.9520000000000017
272,ARM,Armenia,Total,25+,2025,56.001,11.399,54.223,1.7779999999999987
273,ARM,Armenia,Male,15+,2025,61.124,12.08,56.487,4.6370000000000005
274,ARM,Armenia,Male,15-24,2025,35.169,23.444,31.35,3.8189999999999955
275,ARM,Armenia,Male,25+,2025,66.536,10.617,61.526,5.009999999999998
276,ARM,Armenia,Female,15+,2025,44.033,13.758,44.978,-0.9450000000000003
277,ARM,Armenia,Female,15-24,2025,21.214,30.572,21.155,0.0589999999999975
278,ARM,Armenia,Female,25+,2025,47.686,12.244,48.562,-0.8759999999999977
279,ARM,Armenia,Total,15+,2024,52.485,12.405,50.125,2.3599999999999994
280,ARM,Armenia,Total,15-24,2024,28.199,26.659,26.336,1.863000000000003
281,ARM,Armenia,Total,25+,2024,56.913,10.839,54.223,2.6899999999999977
282,ARM,Armenia,Male,15+,2024,61.829,11.734,56.487,5.341999999999999
283,ARM,Armenia,Male,15-24,2024,35.105,23.66,31.35,3.7549999999999955
284,ARM,Armenia,Male,25+,2024,67.399,10.211,61.526,5.8729999999999976
285,ARM,Armenia,Female,15+,2024,44.8,13.154,44.978,-0.17800000000000438
286,ARM,Armenia,Female,15-24,2024,21.162,31.225,21.155,0.006999999999997897
